mode,normalized_radius,mean,std,count,se
original,0.9635416666666666,234.64850057918122,506.3343832505973,288,29.8360396620338
original,0.9739583333333334,237.59421666978676,523.0954445629261,288,30.823694671519736
original,0.984375,227.93227860450543,504.4177981588711,288,29.72310380244375
original,0.9947916666666666,216.60198712662654,504.6286697927686,288,29.735529532634484
strong_only,0.005208333333333333,520225588.77477413,286759258.22180986,288,16897451.3380555
strong_only,0.015625,1326439.6177174235,835058.1344937935,288,49206.272465462454
strong_only,0.026041666666666668,299883.22437506705,184847.66322798378,288,10892.253012916213
strong_only,0.036458333333333336,111145.74641895384,70938.16812091724,288,4180.071643604329
strong_only,0.046875,55745.613426029435,36022.9501021586,288,2122.672691298415
strong_only,0.057291666666666664,34005.72061864021,23902.30377168012,288,1408.4567569113171
strong_only,0.06770833333333333,22509.742692158554,16342.653871279668,288,963.0001145805364
strong_only,0.078125,15464.989733225317,11096.57668171522,288,653.8720516331125
strong_only,0.08854166666666667,11255.654622984615,8001.094008553573,288,471.46898586327404
strong_only,0.09895833333333333,8404.150103360686,5763.397837646095,288,339.6114744729532
strong_only,0.109375,6344.757787593135,4357.125873289396,288,256.74610429052416
strong_only,0.11979166666666667,4934.43345440543,3443.937162540759,288,202.935943467744
strong_only,0.13020833333333334,4018.1536576180642,2820.8850557834708,288,166.22224599102373
strong_only,0.140625,3228.7399170124213,2249.5305092657745,288,132.55485646565475
strong_only,0.15104166666666666,2644.7609615541055,1927.5114261635802,288,113.57970002123508
strong_only,0.16145833333333334,2194.302164229987,1611.730655859701,288,94.9721396837197
strong_only,0.171875,1872.8332968197747,1425.113260122051,288,83.97560418259755
strong_only,0.18229166666666666,1608.9842531073532,1259.422955815908,288,74.21220936995284
strong_only,0.19270833333333334,1360.9866742898714,1100.0065431579476,288,64.81850716804645
strong_only,0.203125,1203.33686142706,1004.2394556643152,288,59.175377419610385
strong_only,0.21354166666666666,1044.4567322423845,906.8889176929579,288,53.43894195696828
strong_only,0.22395833333333334,920.290507574098,826.8992729538606,288,48.725506938658405
strong_only,0.234375,811.7450231085252,749.2909716732562,288,44.152393929334735
strong_only,0.24479166666666666,730.101295763685,698.975205330834,288,41.18750896422435
strong_only,0.2552083333333333,651.4706193838529,643.3811623088344,288,37.911598563021634
strong_only,0.265625,582.8376054299775,595.2379526991177,288,35.0747327310953
strong_only,0.2760416666666667,532.2880105196764,558.6910565708447,288,32.92118622412678
strong_only,0.2864583333333333,485.422335925607,522.5474467370528,288,30.791403589957195
strong_only,0.296875,440.19339399422637,494.0375341828371,288,29.111440881780407
strong_only,0.3072916666666667,406.23367379414736,457.7519807703634,288,26.97329414202484
strong_only,0.3177083333333333,372.3580706155745,434.6074673686919,288,25.60949061089277
strong_only,0.328125,345.362455454771,414.8576645177314,288,24.445722317308473
strong_only,0.3385416666666667,315.6291742824135,391.9377928026613,288,23.095155924504155
strong_only,0.3489583333333333,295.97833152069956,372.7042389678623,288,21.961807895928914
strong_only,0.359375,276.5250592571008,355.2373600175149,288,20.93256218326598
strong_only,0.3697916666666667,253.90082726878362,333.22988386162496,288,19.63575921438006
strong_only,0.3802083333333333,239.1318653151291,319.7627228675999,288,18.84219914252955
strong_only,0.390625,223.5145337639057,305.6888595635573,288,18.012888794214465
strong_only,0.4010416666666667,211.09729484509776,295.3650262751957,288,17.40455108371114
strong_only,0.4114583333333333,196.4920316462535,279.8554809204057,288,16.490642359253446
strong_only,0.421875,185.74285186773142,265.51082279147295,288,15.645375272855857
strong_only,0.4322916666666667,174.74187647297506,255.01419605036133,288,15.02685561050385
strong_only,0.4427083333333333,164.2244072183517,245.09465488979495,288,14.442341042095887
strong_only,0.453125,156.9388931650381,236.43152056208632,288,13.931860956308158
strong_only,0.4635416666666667,147.57502119488387,225.1397875380697,288,13.266489206922305
strong_only,0.4739583333333333,140.58489604990336,216.8113068361276,288,12.775728775145259
strong_only,0.484375,132.4213090154329,207.9130248722466,288,12.25139248201441
strong_only,0.4947916666666667,126.63717453457667,199.7238711576825,288,11.768841971702136
strong_only,0.5052083333333334,119.5127843150924,189.9949821711396,288,11.195561690385835
strong_only,0.515625,113.17353587842993,183.1300581309004,288,10.791042161953861
strong_only,0.5260416666666666,108.86509498925605,176.50205692112348,288,10.400483445191702
