noise_id,noise_name,severity,AP_BG_mAP50_95_baseline,AP_BG_mAP50_95_recsra,AP_WSSV_mAP50_95_baseline,AP_WSSV_mAP50_95_recsra,mAP50_baseline,mAP50_recsra,mAP50_95_baseline,mAP50_95_recsra,mAP75_baseline,mAP75_recsra,precision_baseline,precision_recsra,recall_baseline,recall_recsra,delta_mAP50,delta_mAP50_95,delta_mAP75,delta_precision,delta_recall,delta_AP_BG_mAP50_95,delta_AP_WSSV_mAP50_95
N05,autofocus_defocus_blur,2,4.8043758501345994,5.087204379165,3.7547487255371403,3.4634221535138003,14.65636028889507,14.855132850056672,4.279562287835869,4.2753132663394,1.29590017486224,1.16742167426585,22.46418503571533,24.47183354132769,24.67679324068317,25.609090689919313,0.19877256116160036,-0.004249021496469801,-0.12847850059638996,2.0076485056123583,0.9322974492361413,0.2828285290304003,-0.2913265720233399
N05,autofocus_defocus_blur,3,4.05186148347866,4.51499177944796,3.4169586200303295,2.64595650153918,12.752463921528989,12.73008508359558,3.7344100517545,3.58047414049357,0.9079235263994601,0.79786607426687,21.36941676167077,21.84892199107801,23.41113466254815,25.103880574828757,-0.022378837933409446,-0.1539359112609301,-0.11005745213259008,0.47950522940723994,1.6927459122806077,0.46313029596929955,-0.7710021184911496
N05,autofocus_defocus_blur,4,3.2332529565210195,3.6578997897805796,2.70951560470256,2.12006231606716,10.60880207909143,10.50579301514088,2.97138428061179,2.88898105292387,0.62470396684591,0.4849344691424,20.77156225434017,21.36241687854157,21.81774124857426,21.86938579701489,-0.10300906395055015,-0.0824032276879199,-0.13976949770351,0.5908546242014007,0.05164454844062971,0.42464683325956,-0.5894532886354001
N05,autofocus_defocus_blur,5,2.12204294065006,2.86786093084951,1.8135936537258202,1.51927544000967,6.85298971447674,8.215588060512461,1.9678182971879399,2.19356818542959,0.38536040982221004,0.31235466993801,14.97790263289187,18.58387754293325,17.308844552495632,19.19172993681336,1.3625983460357205,0.2257498882416501,-0.07300573988420003,3.605974910041379,1.8828853843177284,0.7458179901994502,-0.2943182137161502
N06,auto_white_balance_color_cast,1,4.38827583122439,5.56856702025305,3.7796506626493698,3.86570954104358,14.16581847797374,16.11438860691273,4.0839632469368805,4.71713828064831,1.1039156576370701,1.16937812691535,20.592679748540927,25.534149605287187,25.75692306186087,23.61110431219741,1.9485701289389894,0.6331750337114299,0.06546246927827994,4.9414698567462585,-2.1458187496634613,1.18029118902866,0.08605887839421011
N06,auto_white_balance_color_cast,2,4.7619123891688,5.4415164056734096,3.77880846382354,3.80792129746775,14.24502313991039,15.47290808480698,4.27036042649617,4.62471885157058,1.34667236772628,1.04085139041642,22.31490289358328,23.8588837206066,27.06590431807167,25.5302744748655,1.22788494489659,0.3543584250744102,-0.30582097730986,1.5439808270233195,-1.535629843206171,0.6796040165046098,0.0291128336442098
N06,auto_white_balance_color_cast,3,3.85578700252516,4.947686451729489,3.64879141986794,3.72403805001714,12.93539219215288,15.32930270715365,3.7522892111965502,4.335862250873309,0.88609904578209,0.83947250283715,19.72919973786023,25.50186149471159,26.60624336086077,24.52430720429212,2.393910515000769,0.5835730396767596,-0.04662654294494001,5.7726617568513605,-2.0819361565686507,1.0918994492043297,0.07524663014919983
N06,auto_white_balance_color_cast,4,3.4892252717033703,4.12772842433429,3.71197792998019,3.8345132186975204,12.43594516921535,13.923843796349539,3.6006016008417805,3.98112082151591,1.16754829756838,1.31082238357938,19.82980412124467,22.63203671515909,25.51167264699115,23.85023570474004,1.487898627134189,0.3805192206741297,0.1432740860109999,2.8022325939144195,-1.6614369422511128,0.6385031526309197,0.1225352887173306
N06,auto_white_balance_color_cast,5,3.3926829657894597,3.69849969166924,2.44716873918654,3.0912374030078302,9.76034023381421,11.94305397777545,2.919925852488,3.3948685473385303,0.83158597067895,0.78766400455733,15.352182424417471,19.65795567961139,20.47155633661476,22.716503247977048,2.18271374396124,0.4749426948505303,-0.043921966121620096,4.3057732551939205,2.244946911362289,0.3058167258797803,0.64406866382129
N07,jpeg_recompression,1,4.43676662484091,5.39983299861841,3.78823571318705,3.80390775668996,14.50391261071565,15.721835261074629,4.1125011690139806,4.60187037765418,0.91256657235782,1.1252866770793502,21.91888614152137,23.21817831680956,24.51598533392728,25.012849946886877,1.2179226503589797,0.4893692086401995,0.21272010472152997,1.2992921752881887,0.4968646129595994,0.9630663737774998,0.01567204350291021
N07,jpeg_recompression,2,4.649116254895381,5.57616675679076,3.71095537801892,3.86647263775899,14.709729776247372,16.20218158393843,4.18003581645715,4.72131969727488,0.8353505452778199,0.9783247302701701,23.25934261632304,24.06288094918696,24.35517742717139,26.94230006706448,1.4924518076910587,0.5412838808177299,0.14297418499235015,0.8035383328639206,2.5871226398930887,0.9270505018953795,0.15551725974006989
N07,jpeg_recompression,3,3.95808508379967,5.470724825270399,3.12419693357789,3.44238032191697,12.073201162909621,14.40698834077138,3.54114100868878,4.4565525735936795,0.69398641277525,1.29825672820267,20.30489420904692,20.43656038912808,21.658891428963038,25.072571604799272,2.3337871778617583,0.9154115649048999,0.6042703154274199,0.13166618008116082,3.413680175836231,1.5126397414707295,0.31818338833908
N07,jpeg_recompression,4,3.95161200739968,5.175964256165759,3.25212171049346,3.04604500487884,13.30839459968846,13.55572819996923,3.60186685894657,4.1110046305223,0.7089719021485,1.14136568565949,19.32219458990719,22.7594679800137,23.852193791884698,21.28171489272129,0.24733360028076912,0.5091377715757295,0.43239378351099006,3.43727339010651,-2.5704788991634087,1.22435224876608,-0.20607670561462005
N07,jpeg_recompression,5,3.03006699815117,3.7124980305817497,2.0971612288879298,1.8244669018279098,8.90049810917095,9.47284784502329,2.56361411351955,2.76848246620483,0.70229178906124,0.6106233924158601,17.68331513864092,16.29978200302154,18.34629750197032,19.92329193610761,0.57234973585234,0.20486835268528,-0.09166839664537996,-1.3835331356193803,1.5769944341372883,0.6824310324305798,-0.2726943270600201
