variant_id,family,status,best_pt,error,val_mAP50,val_mAP50_95,val_precision,val_recall,val_AP_BG_mAP50_95,val_AP_WSSV_mAP50_95,devtest_mAP50,devtest_mAP50_95,devtest_precision,devtest_recall,devtest_AP_BG_mAP50_95,devtest_AP_WSSV_mAP50_95,elapsed_sec
20,C_GASE,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD020_C_GASE_EV015FAIR_200E_SEED42/weights/best.pt,,0.11398038654036775,0.03151567465875901,0.17267208535440765,0.2425465393646108,0.03576262514866552,0.02726872416885251,0.1258155285390617,0.03570051358324494,0.22342661932647917,0.21935226477254371,0.0339427248892542,0.037458302277235685,2283.731374502182
21,C_GASE,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD021_C_GASE_EV015FAIR_200E_SEED42/weights/best.pt,,0.11641555776909629,0.034234990453520915,0.18293432909059354,0.23008102738488942,0.0374122581154772,0.031057722791564636,0.14704289433543294,0.04237407721891377,0.23630196686762428,0.2654652170294839,0.04825266981843965,0.0364954846193879,2260.462376356125
22,C_GASE,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD022_C_GASE_EV015FAIR_200E_SEED42/weights/best.pt,,0.11485795022938161,0.03022682271390178,0.16340438816049996,0.2142523495450384,0.03432733078937743,0.026126314638426136,0.13295979312353007,0.035964118575753726,0.2145352900321074,0.22409328327157202,0.04440129450255943,0.02752694264894804,2292.524855852127
23,C_GASE,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD023_C_GASE_EV015FAIR_200E_SEED42/weights/best.pt,,0.10358778062614434,0.031162502725486603,0.15912504755199122,0.2334255089902406,0.03249461531840597,0.029830390132567237,0.14248305023217195,0.04175533432066594,0.21282971398366862,0.27377240174073947,0.048331460921263475,0.035179207720068405,2319.407881498337
24,C_GASE,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD024_C_GASE_EV015FAIR_200E_SEED42/weights/best.pt,,0.1219219817167851,0.033552730563892554,0.17251116672902414,0.29003257288416384,0.03384929198358636,0.033256169144198745,0.1496518103987443,0.04338411881840844,0.27104847589834824,0.2196410826263823,0.050783804868289636,0.03598443276852724,2232.799187898636
25,C_GASE,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD025_C_GASE_EV015FAIR_200E_SEED42/weights/best.pt,,0.11401785653906903,0.03276414387918579,0.18029616447660538,0.2269451866245648,0.03693549990806651,0.02859278785030509,0.1371521185948557,0.03884388910277825,0.2272288307241077,0.2308339982670929,0.04638134192653233,0.031306436279024165,2264.2542204856873
26,C_GASE,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD026_C_GASE_EV015FAIR_200E_SEED42/weights/best.pt,,0.11327337437756352,0.03323643670081035,0.1679151720064172,0.23950723392064177,0.037645079357525764,0.028827794044094957,0.14811436990159896,0.04404616751227917,0.20707136324266381,0.25878191878982104,0.052093757249629814,0.03599857777492851,2292.184688806534
27,D_BDRE,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD027_D_BDRE_EV015FAIR_200E_SEED42/weights/best.pt,,0.11701040442305795,0.03402677984445327,0.18842223565343635,0.24119815897809582,0.034951920296524254,0.033101639392382295,0.14561454542799834,0.04135780204713462,0.2309664916732955,0.2535086474023526,0.04369955128944336,0.03901605280482589,2263.429663181305
28,D_BDRE,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD028_D_BDRE_EV015FAIR_200E_SEED42/weights/best.pt,,0.1179636828897434,0.035532447858989125,0.17002910076438288,0.2323044537035307,0.03788940791813169,0.03317548779984656,0.13819555474984435,0.041203872135255955,0.2211607980678743,0.24499586354090688,0.04990152232830132,0.032506221942210596,2279.3391585350037
29,D_BDRE,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD029_D_BDRE_EV015FAIR_200E_SEED42/weights/best.pt,,0.1069966172092993,0.032369073721945495,0.15454333127641534,0.21370705447030058,0.03691827981176155,0.02781986763212944,0.12508080152549345,0.03711285493592462,0.193642405307833,0.2099643898081094,0.042153871016303114,0.032071838855546125,2331.5765523910522
30,D_BDRE,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD030_D_BDRE_EV015FAIR_200E_SEED42/weights/best.pt,,0.11531620367961194,0.03180800869795626,0.18406615390013858,0.2624421566612482,0.03175975744225927,0.03185625995365325,0.14429244889640358,0.04128064822623014,0.22336424292728008,0.2778745943088197,0.04627099956001584,0.03629029689244445,2282.336077451706
31,D_BDRE,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD031_D_BDRE_EV015FAIR_200E_SEED42/weights/best.pt,,0.11082657073297034,0.03160855845606282,0.15860311084339582,0.22755200556905827,0.032202520495051304,0.031014596417074318,0.13953276536980586,0.040355863355403046,0.20114046547762654,0.2563331881085368,0.047571824718715926,0.03313990199209019,2307.5971145629883
32,D_BDRE,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD032_D_BDRE_EV015FAIR_200E_SEED42/weights/best.pt,,0.10220288019986004,0.02881513769931506,0.16624253265176703,0.21575331801224443,0.02955923698233131,0.028071038416298794,0.13524235178535873,0.03812664398794438,0.19348815681672918,0.26571242553149826,0.04378908816320991,0.03246419981267887,2362.994023323059
33,D_BDRE,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD033_D_BDRE_EV015FAIR_200E_SEED42/weights/best.pt,,0.136364453287378,0.03880769975029806,0.1776977760642181,0.2849971662213586,0.0419190085667833,0.03569639093381282,0.14738155834468253,0.043516066731260114,0.24653453889487675,0.23922440168199685,0.05141816264408853,0.03561397081843171,2274.4465985298157
34,D_BDRE,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD034_D_BDRE_EV015FAIR_200E_SEED42/weights/best.pt,,0.09842334057127991,0.027806028051910757,0.16539152335134333,0.19678879941206878,0.02822700016297199,0.027385055940849546,0.11223828866482836,0.03138748575069589,0.17621225434272353,0.2368330877565706,0.035802686756203905,0.02697228474518788,2282.0166015625
35,D_BDRE,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD035_D_BDRE_EV015FAIR_200E_SEED42/weights/best.pt,,0.10158934218686964,0.029347904454599248,0.15580250301365572,0.2220623680424506,0.030436864942073205,0.028258943967125288,0.14603889119541358,0.04193927760898094,0.21249784429389765,0.2667012595395558,0.048175928584923505,0.035702626633038366,2312.698261499405
36,E_CGRF,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD036_E_CGRF_EV015FAIR_200E_SEED42/weights/best.pt,,0.11640247963879483,0.032145931220011914,0.18017794229189277,0.23751845705500121,0.032333645185136935,0.031958217254886914,0.14788454147196944,0.04343104032961346,0.2186005240318639,0.2571255341804114,0.05324893386345504,0.033613146795771875,2223.1731944084167
37,E_CGRF,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD037_E_CGRF_EV015FAIR_200E_SEED42/weights/best.pt,,0.11361323397284998,0.029817405332339914,0.17737928457427096,0.21556336142199634,0.030971076882323367,0.028663733782356465,0.12920558939221286,0.03607058941686803,0.2071634984798658,0.2262373886949839,0.0399065017086747,0.03223467712506135,2288.735577583313
38,E_CGRF,ok,/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD038_E_CGRF_EV015FAIR_200E_SEED42/weights/best.pt,,0.11810290963811526,0.034404289043242595,0.17453737002750186,0.2795071093589432,0.037439568681014515,0.03136900940547065,0.1378127189257609,0.03863680732558733,0.21458956079547964,0.26313509332732854,0.04134913445860105,0.03592448019257359,2302.118067264557
