condition,noise_id,noise_name,severity,model,mAP50,mAP50_95,mAP75,precision,recall,AP_BG_mAP50_95,AP_WSSV_mAP50_95,speed,model_path,data_yaml,cuda_visible_devices
corruption,N03,localized_specular_flash_glare,5,baseline,0.13413551581163913,0.03832909317128788,0.01075474484218794,0.2274804635828231,0.2258443093736587,0.041066262217478486,0.035591924125097284,"{'preprocess': 1.0133192613097521, 'inference': 6.790852180144226, 'loss': 0.00263400900760783, 'postprocess': 0.5554674594718931}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/baseline_reuse_lock/yolo11s_baseline_best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N03_S5/data.yaml,0
corruption,N03,localized_specular_flash_glare,5,recsra,0.14867178686907445,0.04402883780558445,0.010179470771823273,0.24221160189956017,0.23730853204952426,0.05331351994415763,0.034744155667011264,"{'preprocess': 0.9461279459509906, 'inference': 8.437529558586329, 'loss': 0.002686108100615538, 'postprocess': 0.5455600000566044}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD001_A_RCCM_EV015FAIR_200E_SEED42/weights/best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N03_S5/data.yaml,0
corruption,N04,handheld_motion_blur,1,baseline,0.15005081098427903,0.043517819860642584,0.012610206155405448,0.22250899572480265,0.24531457593428932,0.047637805608784466,0.03939783411250068,"{'preprocess': 0.9614407117214386, 'inference': 6.779780378393126, 'loss': 0.0024923422864270143, 'postprocess': 0.5392809188633036}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/baseline_reuse_lock/yolo11s_baseline_best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N04_S1/data.yaml,0
corruption,N04,handheld_motion_blur,1,recsra,0.15682245144472215,0.04478074331896702,0.010737010791625392,0.24821408923348814,0.25637479746036096,0.051607877768181855,0.03795360886975219,"{'preprocess': 0.977887126134954, 'inference': 8.398692639660498, 'loss': 0.0026010180541512404, 'postprocess': 0.5644414954945164}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD001_A_RCCM_EV015FAIR_200E_SEED42/weights/best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N04_S1/data.yaml,0
corruption,N04,handheld_motion_blur,2,baseline,0.13521634158220996,0.040628452878432905,0.013538476756834224,0.20353841964316177,0.26146582403649876,0.04386890631817479,0.03738799943869101,"{'preprocess': 1.0418071801682305, 'inference': 6.776322198216345, 'loss': 0.0027581621792591134, 'postprocess': 0.5638239459044967}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/baseline_reuse_lock/yolo11s_baseline_best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N04_S2/data.yaml,0
corruption,N04,handheld_motion_blur,2,recsra,0.1473949134534843,0.041234782056900426,0.010440594391139814,0.2423494806405502,0.25163377896133265,0.05065754854788314,0.03181201556591773,"{'preprocess': 0.992733018048622, 'inference': 8.44127782876787, 'loss': 0.002596297301417573, 'postprocess': 0.5573954594601181}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD001_A_RCCM_EV015FAIR_200E_SEED42/weights/best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N04_S2/data.yaml,0
corruption,N04,handheld_motion_blur,3,baseline,0.09605167544153922,0.026056024655149362,0.008094316940874084,0.20446239240012903,0.1876067769396077,0.023875246898516517,0.02823680241178219,"{'preprocess': 1.0284816396403937, 'inference': 6.784482270214122, 'loss': 0.002713765801721869, 'postprocess': 0.5228558017676674}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/baseline_reuse_lock/yolo11s_baseline_best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N04_S3/data.yaml,0
corruption,N04,handheld_motion_blur,3,recsra,0.1144711423967518,0.03232178490471518,0.008297267751087658,0.21327085583419297,0.19335865792707105,0.039724093812353665,0.02491947599707668,"{'preprocess': 0.9823953153147715, 'inference': 8.445468081066924, 'loss': 0.0026834054183013534, 'postprocess': 0.5598812612751735}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD001_A_RCCM_EV015FAIR_200E_SEED42/weights/best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N04_S3/data.yaml,0
corruption,N04,handheld_motion_blur,4,baseline,0.05681952207461355,0.01743497406073618,0.007896481375856633,0.15864231736843762,0.1151241772486892,0.015328857957721431,0.01954109016375092,"{'preprocess': 0.9704933062911968, 'inference': 6.7878142793127045, 'loss': 0.0025943423302656433, 'postprocess': 0.5081780990794131}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/baseline_reuse_lock/yolo11s_baseline_best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N04_S4/data.yaml,0
corruption,N04,handheld_motion_blur,4,recsra,0.06894972445054479,0.020248859969366075,0.008188608382495775,0.15947296525813628,0.14417395646193235,0.022987582776411723,0.017510137162320423,"{'preprocess': 1.0210760630699853, 'inference': 8.434149900912834, 'loss': 0.0025868468566824943, 'postprocess': 0.5266248108701138}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD001_A_RCCM_EV015FAIR_200E_SEED42/weights/best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N04_S4/data.yaml,0
corruption,N04,handheld_motion_blur,5,baseline,0.029648229194398645,0.007575795545696336,0.002980778523934335,0.1318018025789684,0.06750994953030384,0.008382499831259738,0.006769091260132932,"{'preprocess': 0.9282585495810479, 'inference': 6.7769574234180165, 'loss': 0.002500495529520695, 'postprocess': 0.4757093783736891}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/baseline_reuse_lock/yolo11s_baseline_best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N04_S5/data.yaml,0
corruption,N04,handheld_motion_blur,5,recsra,0.04455050304925727,0.013321598943274018,0.0038260130600991237,0.12632007364167072,0.08991780929210255,0.01926825033588677,0.007374947550661268,"{'preprocess': 0.9739802882970318, 'inference': 8.418661720678028, 'loss': 0.0026208288480054696, 'postprocess': 0.5032760810200334}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD001_A_RCCM_EV015FAIR_200E_SEED42/weights/best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N04_S5/data.yaml,0
corruption,N05,autofocus_defocus_blur,1,baseline,0.14495247568471484,0.04183404279480911,0.013365664511585745,0.22746750828682666,0.25258100361756597,0.046349654260038384,0.03731843132957984,"{'preprocess': 0.9725876576454653, 'inference': 6.766650045031932, 'loss': 0.002604405397522003, 'postprocess': 0.5552586666912707}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/baseline_reuse_lock/yolo11s_baseline_best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N05_S1/data.yaml,0
corruption,N05,autofocus_defocus_blur,1,recsra,0.15582208512401488,0.044763958869363595,0.011340841977373861,0.24539380660480814,0.26272389502694815,0.05215995253028131,0.03736796520844588,"{'preprocess': 0.9619693693477186, 'inference': 8.438339108071379, 'loss': 0.0026626215880209167, 'postprocess': 0.5755314233685059}",/home/drnguyenvinh/notebooks/shrimp_yolo11s_full_method_zoo/sldra54_ev015fair200/seed_42/runs_train/SD001_A_RCCM_EV015FAIR_200E_SEED42/weights/best.pt,/home/drnguyenvinh/notebooks/recsra_mobile10_output_rtx4090/temporary_corrupted_testsets/N05_S1/data.yaml,0
